,titulo,date,figcaption,volanta
36,Champions League: El Chelsea de Enzo Fernández busca remontar ante el Dortmund,2023-03-06T16:44:25-03:00,Enzo Fernández buscará liderar la remontada del Chelsea.. Imagen: AFP,Este martes también juegan el Benfica de Otamendi ante el Brujas
37,"El River de Demichelis, una obra en construcción",2023-03-06T15:31:10-03:00,River festejó ante Lanús en un partido con mucha polémica.. Imagen: NA,Opinión
38,Efecto Scaloneta: El técnico argentino revolucionó El Salvador,2023-03-06T15:13:39-03:00,Lionel Scaloni recibió una espectacular bienvenida en El Salvador.. Imagen: AFP,Scaloni participó de una visita promocional y se abrazó con el Mágico González
39,El PSG adelantó su viaje a Alemania por una huelga general en Francia,2023-03-06T17:48:52-03:00,Messi y sus compañeros deben revertir el 0-1 del partido de ida en el Parque de los Prínicipes,El equipo de Messi visitará el miércoles al Bayern por la Champions League
40,Djokovic se tuvo que bajar de Indian Wells y Miami y su reinado está en peligro,2023-03-06T11:03:33-03:00,Djokovic llegó a semifinales en Dubai la semana pasada.. Imagen: AFP,El serbio no pudo viajar a Estados Unidos por no estar vacunado
41,Vélez fue efectivo en el primer tiempo y se llevó un valioso triunfo ante Talleres,2023-03-06T09:44:59-03:00,"Julián Fernández festeja su gol, el segundo del ganador. Imagen: Télam","El partido fue observado por Ricardo Gareca, quien asumirá en Liniers"
42,Argentinos Juniors se llevó la victoria de Tigre ,2023-03-06T09:47:36-03:00,Argentinos se hizo fuerte en condición de visitante. Imagen: Télam,El único gol lo convirtió Gabriel Avalos de penal
43,River: el DT Demichelis realizó una práctica con Suárez y Mammana,2023-03-06T09:50:05-03:00,El Millonario trabajó en el Monumental de Núñez tras vencer a Lanús. Imagen: Prensa RIver Plate,Serían convocados el próximo miércoles ante Racing de Córdoba por la Copa Argentina
44,Diseñan un videojuego que busca detectar posibles casos de abuso sexual infantil,2023-03-03T10:20:55-03:00,,Fue desarrollado por especialistas de tres universidades
45,El uso de las cabinas de uñas podría causar cáncer de piel,2023-02-22T09:25:28-03:00,,Lo advierte una investigación difundida en la prestigiosa revista Nature
46,San Valentín: lo que la ciencia sabe y no sabe sobre el amor,2023-02-14T10:12:41-03:00,,¿Cuál es el cóctel químico que desencadena este sentimiento? 
47,Una empresa argentina lanzó un kit que permite detectar dengue en tiempo real,2023-02-09T14:29:14-03:00,,"Según se estima, cada año se infectan 50 millones de personas"
48,Editaron con éxito el genoma porcino que acercaría a la Argentina a realizar trasplantes de órganos animales en humanos,2023-02-09T13:48:44-03:00,El anuncio se realizó hoy en conferencia de prensa en la Facultad de Agronomía donde se realizó una recorrida por los laboratorios donde se llevan adelante las prácticas e investigaciones.,Avance genético inédito en Latinoamérica
49,Descubren un planeta posiblemente habitable para la vida humana,2023-02-08T18:35:20-03:00,. Imagen: NASA/Ames Research Center/Daniel Rutter,Se encuentra a 31 años luz de la Tierra
50,Cometa verde: cuándo se podrá ver desde Argentina y cómo seguirlo online,2023-02-02T08:47:01-03:00,. Imagen: Dan Bartlett,Pasa por la Tierra cada 50.000 años
51,"Como en Terminator 2: crean un robot ""líquido"" que atraviesa rejas",2023-01-26T19:14:39-03:00,,Puede utilizarse con fines médicos
52,¿Hubo vida en Marte?: un meteorito podría dar la respuesta ,2023-01-18T18:04:45-03:00,. Imagen: Fayer Wayer,Científicos encontraron magnesio en forma orgánica en su composición
53,"De las bikinis en la Antigua Roma a los primeros viajes de egresados, cómo cambió el turismo a lo largo de la historia",2023-01-12T11:11:24-03:00,El turismo mutó a lo largo de la historia.,Los primeros registros turísticos tienen más de dos milenios
54,¿La Tierra podría colisionar contra el Sol?,2022-12-19T17:13:37-03:00,,Una hipótesis a partir de observar cómo un exoplaneta decayó alrededor de su estrella madura
55,¿Qué hacer por los migrantes? La pregunta sin respuesta del gobierno de Meloni,2023-03-06T19:54:55-03:00,. Imagen: EFE,La primera ministra de Italia ahora se hace eco de las palabras del Papa Francisco
56,Bolsonaro en la mira por ingresar regalos millonarios de Arabia Saudita,2023-03-06T18:41:05-03:00,"Bolsonaro dice ""yo no fuí"" cuando parece que sí fue.. Imagen: AFP",La justicia brasileña sospecha que quiso quedarse con las joyas
57,"La guerra Rusia-Ucrania, minuto a minuto",2023-03-06T19:15:12-03:00,,Moscú advierte que los ucranianos se preparan para atacar Zaporiyia
58,China fijó un objetivo de crecimiento prudente y aumentó su gasto militar,2023-03-06T10:22:06-03:00,. Imagen: AFP,La sesión anual parlamentaria debe aprobar un tercer mandato presidencial para Xi Jinping
59,"EE.UU, Cuba y la polémica lista de países patrocinadores de terrorismo",2023-03-06T00:08:09-03:00,. Imagen: Xinhua,Biden renovó la orden firmada por Trump 
60,Venezuela rindió homenaje a Hugo Chávez a diez años de su muerte,2023-03-06T00:08:11-03:00,. Imagen: AFP,El líder de izquierda sigue siendo el político con mayor imagen del país
61,Lula salva a Brasil (otra vez),2023-03-06T00:08:10-03:00,. Imagen: AFP,Opinión
62,"Bolsonaro negó cualquier ""ilegalidad"" en las joyas regaladas por Arabia Saudita",2023-03-06T00:08:09-03:00,. Imagen: EFE,"El expresidente de Brasil reaccionó al regalo valuado en 3,2 millones de dólares"
63,"Insólito: una misteriosa ""lluvia de gusanos"" atemoriza a China",2023-03-05T17:01:21-03:00,. Imagen: Captura de vídeo ,Una imagen apocalíptica
64,Ecuador: ordenan la detención de Lenin Moreno,2023-03-05T01:42:53-03:00,,Por un caso de corrupción vinculado la construcción de una central hidroeléctrica
65,El Salvador: la implosión que viene con Bukele,2023-03-05T01:42:51-03:00,. Imagen: AFP,Opinión
